surface_area,wall_area,roof_area,glazing_area,height,compactness,orientation,energy_class
274,378,272,19,4.702750566093823,0.5300067425697976,4,1
339,359,175,18,4.972581245841342,0.8179257348239215,1,0
314,297,140,17,3.8091203049338356,0.6443339417876104,2,0
332,448,170,17,5.141293285652929,0.6803437723957824,4,0
313,342,260,28,4.652012680595445,0.7565853379518059,2,1
122,110,131,31,5.211117730800445,0.6570172767105114,4,1
309,128,198,14,3.4154014983272867,0.7095340234610235,2,0
133,121,93,9,4.593928296580087,0.7403046934668116,3,0
339,379,151,5,4.241173483145179,0.8956431475850009,3,0
165,207,177,5,2.9889618581363746,0.8362727821281188,2,0
209,127,152,31,4.143949255132418,0.828060943359066,2,1
96,326,162,39,4.853823273962291,0.9594726749342242,1,1
71,418,232,28,3.204534869667582,0.9723671767162949,4,0
192,329,195,16,2.8184350064051933,0.8133804695789006,1,0
338,270,225,34,2.8904765787754734,0.8230391904862877,1,2
251,306,161,25,2.9832276289478274,0.8896829531655897,4,0
228,268,103,12,3.40538475751475,0.9699025239721704,2,0
62,139,126,20,2.7967724959280655,0.9302318713242976,3,0
333,206,123,27,2.872576215450292,0.9719928926556479,1,0
287,166,192,14,5.116620659254285,0.5335745088719704,3,1
114,308,293,33,2.9992314267174214,0.8226124139731723,3,1
320,473,83,29,2.7203488988446427,0.6759084905855339,2,1
256,284,149,9,5.34485208898251,0.550291756113265,2,0
245,477,112,29,4.190551319264284,0.9049513297353955,3,1
291,139,97,28,4.41531305926347,0.7451275899000539,2,0
324,350,257,37,4.413317193205329,0.6008919584824577,3,2
327,445,93,39,2.628274572611018,0.5596306038315293,1,2
300,255,149,10,2.7782291562005543,0.6204970699374601,2,0
275,237,149,28,3.579892276443015,0.8261654259418519,3,1
179,379,203,12,5.193364515934306,0.9626335194532247,2,0
202,419,165,23,3.2531068357858,0.8046291986834204,2,0
91,381,285,22,4.676022763219871,0.8202488729436173,2,0
347,144,86,33,3.506806331999102,0.6523378581745698,4,1
216,130,82,29,2.8423423137935484,0.7000932833844882,1,1
157,310,251,19,5.485212509945683,0.8475185638971239,2,0
243,465,246,24,4.061196134095968,0.844200286468493,2,0
287,174,293,11,2.7400703555219494,0.5804834488496866,4,0
287,409,278,33,4.095363198845484,0.6463422537211687,4,2
328,475,211,10,4.639599360039274,0.904311794027534,1,0
221,446,159,35,4.1374422632432175,0.8506827425360404,2,1
112,337,118,12,4.013365591350684,0.8650362472333049,1,0
173,117,101,36,4.289403750323724,0.6363469302846554,1,1
334,496,102,18,2.650491970125807,0.8519628340400884,2,0
224,362,288,7,3.6422904045243003,0.5379926866653374,4,0
269,208,273,10,3.0276722296476333,0.8550219420014576,2,0
290,164,282,13,2.6913662917559433,0.5328105688115283,3,0
111,394,107,17,4.700942169923321,0.6722501352111309,2,0
82,415,147,13,3.071019048275084,0.5558056673609325,4,0
75,304,241,24,2.653009317736731,0.5117977691776721,4,1
276,136,99,18,5.11153945424819,0.9418316448540326,4,0
257,168,199,9,5.005349876553144,0.7904743325476798,3,0
320,305,258,32,4.6066289388439525,0.8682881650360808,2,1
166,136,260,39,2.557130802162332,0.624150442843177,2,1
315,485,269,21,4.948547280673052,0.8409807126222291,4,0
186,400,225,39,3.940210303294723,0.8649783769971764,1,1
180,479,148,12,3.69643117162447,0.7670749579916765,1,0
208,152,150,29,2.9099060454187793,0.8202211303242057,1,1
81,187,292,17,3.777891876336372,0.6629105943997038,2,0
329,338,229,9,5.231770849335841,0.9677995530750422,3,0
84,215,286,28,3.4395246866507305,0.9763776881002237,3,0
274,399,188,10,4.540717734249357,0.8772431690031018,2,0
61,431,181,22,2.9347073045962433,0.608460910757871,1,0
85,409,137,13,2.93702006962113,0.6071676648245001,3,0
163,288,252,5,5.34902711795486,0.8171698376273013,2,0
341,314,167,36,4.759457990491754,0.7295051092087979,4,1
301,477,143,11,2.9024762894761658,0.786129374078144,2,0
219,398,179,39,3.3592612203612826,0.528687298498987,1,1
119,405,173,10,2.5004820159009924,0.6219890472267884,1,0
316,256,291,28,4.086613388268416,0.9349739565026083,1,1
303,222,242,26,3.2095683663270265,0.6612466009192944,4,1
211,115,150,17,4.98801373466267,0.5467209089914247,2,0
300,339,168,6,3.2611789945328526,0.8628300756889027,4,0
303,195,93,33,3.79063519895103,0.7203247585518164,4,1
245,254,130,9,4.862323446002707,0.6461919850209354,1,0
255,140,213,36,3.91412408219934,0.8756045170069322,3,1
211,242,257,37,3.127258453667272,0.8767153683994737,1,1
330,374,238,31,3.3824938132905684,0.7216006720726773,4,1
123,179,198,29,3.7048725116089187,0.8101018754766616,2,1
69,268,183,17,4.374073688596754,0.9679151936977511,2,0
258,472,134,31,3.342261729527763,0.702880631437734,2,1
119,138,295,25,2.615304584727957,0.5291550665760394,2,1
100,345,175,10,5.404564369459055,0.9867217111857312,3,0
241,436,141,22,3.6412372395160775,0.9781938651580089,2,0
304,233,109,15,3.9082565521950703,0.776171276597408,4,0
314,363,282,37,4.0644412879235485,0.5988258607520875,2,2
300,389,189,15,3.477264010349189,0.9174016373443061,3,0
325,251,188,25,3.8671475049650565,0.7736210111770997,2,0
154,199,238,11,2.940178940700149,0.8997882922674894,4,0
168,295,175,39,3.7558484200939746,0.7635849628711872,2,1
166,111,100,30,3.376422197290297,0.9448862948158299,2,0
215,187,97,37,3.7104443842710313,0.7957031465397475,1,1
228,133,182,29,3.542714299639261,0.9804549857593365,1,1
100,236,254,18,3.2606696738525653,0.5828004002352007,3,0
200,479,155,7,3.6821077036058156,0.8974707558343848,1,0
145,449,100,16,5.494569958878892,0.5584456413348229,4,0
105,490,172,22,5.040039689237833,0.6238395462808399,4,0
337,122,193,36,2.876858961376521,0.6955157090456245,1,2
276,337,219,22,4.66889649527508,0.8244086480052043,1,1
308,117,282,5,3.391456374902926,0.9838794003242555,2,0
116,116,156,8,5.4853737033568954,0.7278084214002811,3,0
306,226,185,15,2.923472652269671,0.6778883908879973,1,0
215,432,109,20,5.019086782340055,0.6708583600901747,1,0
203,138,249,6,3.099081858959491,0.8145766439304132,4,0
74,431,251,15,2.797131058033698,0.9518446256647075,2,0
233,317,171,15,3.5683481284575453,0.8205809589426054,3,0
322,218,289,34,2.565951425016913,0.7348410434808661,2,1
71,472,81,19,3.1682775841076483,0.6981800770160755,2,0
106,302,91,29,4.376298766442934,0.7289851450101514,3,0
97,282,217,30,2.9547263498381717,0.8635349522385134,3,1
173,352,93,27,3.0277765446388383,0.8744611499076842,1,0
121,119,109,36,4.267118800314159,0.8086001362557755,2,1
242,224,280,29,5.164722567846387,0.6661927943689565,1,1
329,470,151,35,5.187748545155326,0.7760082373625498,3,1
229,216,230,13,3.4394790160049156,0.5626985538218178,4,0
113,173,120,21,3.2202116780536967,0.5601391387376673,2,0
92,275,256,22,3.5216600209896507,0.5613451818580919,1,0
157,449,143,13,4.621509764153908,0.8120490339447128,2,0
326,240,217,8,3.4612531272616414,0.6234260144167355,2,0
199,271,167,12,3.2213892484538764,0.5786157595587129,2,0
112,350,113,24,4.077804794974114,0.8324185649516962,3,1
198,336,157,33,3.381837701063472,0.9221587853490147,1,1
294,479,170,18,3.225397810117974,0.8742228767700475,3,0
336,343,180,19,4.502440114176914,0.9818940198171265,3,0
152,422,185,24,5.433827378055259,0.8024945983261811,1,1
162,366,149,13,3.333195250186942,0.7329346314356956,3,0
99,126,279,29,5.329053289691849,0.7772532695907227,4,1
262,262,256,27,4.038929652980657,0.985089321066685,2,1
260,231,112,17,3.7409168992310766,0.8296501884661374,3,0
108,350,292,37,4.402811748886642,0.6963937279533302,2,1
330,328,206,21,4.267665202370963,0.9339284171046045,2,0
128,200,178,21,4.50400398407046,0.7943340954048101,3,0
79,463,119,18,2.992005548061821,0.9191384854260669,1,0
268,409,206,13,4.4621611601344275,0.773257594582941,2,0
211,216,223,16,2.6217910041676196,0.5953674808260598,4,0
268,340,167,19,4.767470805046155,0.7203324510009154,3,0
